name;license;last_updated;lang;url;authors;affiliations;publications;interface_for;used_by;comment;
Name;License;End;Language;URL;Affiliations;Institutions;Publications;Interfaces;Used in;Description / Comment;
ABCD;CC0;2000;C;;Armin Biere::https://github.com/arminbiere;JKU Linz;;;;;
Alliance;;1997;;;;;;;;;DVO
BinaryDecisionDiagrams (andreaswolf);;2014;PHP;https://github.com/andreaswolf/BinaryDecisionDiagrams;https://github.com/andreaswolf;;;;;;
BBDD;;;;https://www.epfl.ch/labs/lsi/page-102566-en-html/bbdd/;Amaru et al.;Swiss Federal Institute of Technology, Lausanne;An Efficient Manipulation Package for Biconditional Binary Decision Diagrams, 2014, MORE;;;;
bdd14;;;;https://www-cs-faculty.stanford.edu/~knuth/programs/bdd14.w;Donald Knuth;;;;;;
bdd15;;;;https://www-cs-faculty.stanford.edu/~knuth/programs/bdd15.w;Donald Knuth;;;;;ZDD;
BDDC;;2000;;;Pascal Raymond;CNRS, Grenoble;BDDC v2 A basic bdd-based logical calculator;;;;
BDDNOW;;1998;;;;;;;;;
BDDSharp;MIT;2017;C#;https://github.com/ancailliau/BDDSharp;Antoine Cailliau;Université Catholique de Louvain;;;;;
BDS;NC-Aca;2001;;http://www.ecs.umass.edu/ece/labs/vlsicad/bds/bds.html;Congguang Yang, Maciej Ciesielski, Alan Mishchenko;University of Massachusetts, Amherst;;;;;
BeeDeeDee;GPL-3.0;2018;Java;https://github.com/JuliaSoft/BeeDeeDee;https://github.com/albertolovato, https://github.com/spoto, https://github.com/ths11, https://github.com/SCiprian, https://github.com/tim-hoffman;;;;;;
Biddy;GPL-2.0;2020;C;https://github.com/meolic/biddy;Robert Meolioc;University of Maribor;;;;;
boolean_expressions;MIT;2021;Rust;https://github.com/cfallin/boolean_expression;https://github.com/cfallin;;;;;;
BuDDy;CC0;;;;;University of Michigan;;;;Github Dead, mirrored under pysmt/repycudd;
BuDDy:utwente-fmt;;2017;;https://github.com/utwente-fmt/buddy;;University of Twente;;;;Contribution unclear?;
BuDDySharp;MIT;2016;C#, C;https://github.com/thisiscam/BuDDySharp;Cambridge Yang;MIT;;;;;
CacBDD;;2019;C++;https://github.com/soga-denken/cacBDD;Shota Soga;Central Research Institute of Electric Power Industry, Japan;;;;;
Cal BDD;;;;http://vlsicad.eecs.umich.edu/BK/Slots/cache/www-cad.eecs.berkeley.edu/Respep/Research/bdd/cal_bdd/;;University of California, Berkley;;;;Download broken;
